what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xsd,2.5.0.v200906151043,"org.eclipse.xsd",1449590963160
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.200.v200905120445,"org.eclipse.wst.jsdt.web.core",1449590963937
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v200908270924,"org.eclipse.jst.jee.ui",1449590964113
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1449590964222
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449590964531
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1449590965030
started,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1449590965998
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1449590966000
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1449590966047
started,bundle,org.eclipse.jst.server.core,1.2.0.v20090421,"org.eclipse.jst.server.core",1449590966335
started,bundle,org.eclipse.jst.jsp.core,1.2.203.v200908241513,"org.eclipse.jst.jsp.core",1449590966448
started,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1449590966645
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449590973497
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449590987579
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1449590987673
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1449590990964
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449590994834
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591003132
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1449591004591
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1449591004911
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449591004946
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449591005217
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1449591005449
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591008456
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591065647
