what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1449591069033
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1449591069760
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1449591070979
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1449591070989
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1449591075409
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1449591077762
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1449591082664
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1449591119632
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591123530
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591165675
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449591169879
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591181765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591192339
executed,command,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.applyPatch",1449591192349
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449591193786
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591196789
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591214719
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591240022
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591324670
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591326175
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591333742
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1449591338123
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449591343895
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1449592227606
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1449592234505
